Id,SquareFootage,TotalRooms,SalePrice
1,4276,6,208500.0
2,3786,5,181500.0
3,4492,6,223500.0
4,4190,4,140000.0
5,5541,7,250000.0
6,3520,3,143000.0
7,5074,5,307000.0
8,5287,6,200000.0
9,4500,4,129900.0
10,3145,3,118000.0
11,3120,4,129500.0
12,5823,7,345000.0
13,2736,3,144000.0
14,4482,5,279500.0
15,3759,4,157000.0
16,2540,3,132000.0
17,3012,3,149000.0
18,2592,4,90000.0
19,3342,5,159000.0
20,3707,4,139000.0
21,5910,8,325300.0
22,2853,4,139400.0
23,5367,5,230000.0
24,3160,4,129900.0
25,3180,4,154000.0
26,4766,5,256300.0
27,2700,4,134800.0
28,5112,5,306000.0
29,4684,3,207500.0
30,1560,2,68500.0
31,3283,4,40000.0
32,3684,5,149350.0
33,3702,5,179900.0
34,4798,6,165500.0
35,4683,4,277500.0
36,6021,8,309000.0
37,3291,5,145000.0
38,3891,4,153000.0
39,3171,4,109000.0
40,2304,4,82000.0
41,3736,5,160000.0
42,4006,4,170000.0
43,2608,3,144000.0
44,2814,4,130250.0
45,3450,4,141000.0
46,5256,4,319900.0
47,5732,3,239686.0
48,4968,5,249700.0
49,3640,4,113000.0
50,2865,4,127000.0
51,3734,5,177000.0
52,2808,4,114500.0
53,2448,3,110000.0
54,5526,1,385000.0
55,3104,4,130000.0
56,4275,5,180500.0
57,4448,6,172500.0
58,4300,6,196500.0
59,7300,7,438780.0
60,2340,3,124900.0
61,3474,5,158000.0
62,2752,4,101000.0
63,4110,4,202500.0
64,3996,5,140000.0
65,5125,6,219500.0
66,6089,7,317000.0
67,6361,5,180000.0
68,4411,5,226000.0
69,2241,3,80000.0
70,5878,5,225000.0
71,6669,5,244000.0
72,2535,3,129500.0
73,4268,6,185000.0
74,3258,4,144900.0
75,4050,5,107400.0
76,2438,3,91000.0
77,2856,3,135750.0
78,3242,3,127000.0
79,5304,6,136500.0
80,2900,4,110000.0
81,5180,7,193500.0
82,3911,4,153500.0
83,4689,5,245000.0
84,3195,5,126500.0
85,3332,6,168500.0
86,6122,7,260000.0
87,3804,6,174000.0
88,3060,5,164500.0
89,3552,3,85000.0
90,2970,4,123600.0
91,2080,3,109900.0
92,3705,3,98600.0
93,2804,3,163500.0
94,5796,6,133900.0
95,4396,6,204750.0
96,3620,6,185000.0
97,4764,5,214000.0
98,2880,4,94750.0
99,2128,3,83000.0
100,3400,5,128950.0
101,4830,5,205000.0
102,4205,6,178000.0
103,3070,6,118964.0
104,3678,5,198900.0
105,4676,6,169500.0
106,5037,6,250000.0
107,2735,3,100000.0
108,2367,3,115000.0
109,3827,5,115000.0
110,5532,5,190000.0
111,4704,6,136900.0
112,3244,6,180000.0
113,6656,7,383970.0
114,6327,5,217000.0
115,5668,6,259500.0
116,3645,5,176000.0
117,3276,4,139000.0
118,3375,4,155000.0
119,8117,8,320000.0
120,3640,6,163990.0
121,2914,2,180000.0
122,2978,4,100000.0
123,3240,4,136000.0
124,3597,4,153900.0
125,4534,5,181000.0
126,1794,3,84500.0
127,2994,4,128000.0
128,2352,4,87000.0
129,3356,5,155000.0
130,3114,5,150000.0
131,5238,7,226000.0
132,5100,6,244000.0
133,3717,4,150750.0
134,3859,4,220000.0
135,4903,6,180000.0
136,4668,5,174000.0
137,3642,5,143000.0
138,5825,8,171000.0
139,4708,6,230000.0
140,4456,6,231500.0
141,2592,4,115000.0
142,5202,5,260000.0
143,3680,6,166000.0
144,4492,5,204000.0
145,5184,8,125000.0
146,4388,5,130000.0
147,2465,3,105000.0
148,4954,6,222500.0
149,3240,4,141000.0
150,3584,4,115000.0
151,2907,5,122000.0
152,5130,4,372402.0
153,4811,7,190000.0
154,4106,2,235000.0
155,3600,5,125000.0
156,2764,3,79000.0
157,2080,3,109500.0
158,4710,7,269500.0
159,4885,6,254900.0
160,6316,7,320000.0
161,3696,5,162500.0
162,6908,6,412500.0
163,4623,5,220000.0
164,2646,2,103200.0
165,4381,5,152000.0
166,3354,6,127500.0
167,5351,3,190000.0
168,5904,5,325624.0
169,4280,6,183500.0
170,5100,5,228000.0
171,2956,4,128500.0
172,4392,4,215000.0
173,4598,4,239000.0
174,4086,5,163000.0
