Id,SquareFootage,TotalRooms
1461,2674,3
1462,3987,5
1463,4186,6
1464,4134,6
1465,3840,4
1466,4073,6
1467,3542,5
1468,3719,6
1469,3982,4
1470,2646,3
1471,4079,4
1472,2457,4
1473,2709,5
1474,3767,6
1475,2508,3
1476,6258,6
1477,4632,5
1478,5094,5
1479,5466,5
1480,8238,6
1481,6171,6
1482,4110,4
1483,3972,5
1484,3435,4
1485,3132,6
1486,4313,6
1487,6579,7
1488,4785,4
1489,3654,4
1490,4404,4
1491,4149,6
1492,2840,3
1493,4196,5
1494,5929,7
1495,5840,7
1496,4464,4
1497,4200,5
1498,3000,5
1499,3000,5
1500,3072,5
1501,3780,5
1502,2690,5
1503,4478,3
1504,4671,6
1505,4476,5
1506,5487,6
1507,6270,7
1508,5006,6
1509,4005,7
1510,3696,5
1511,3627,4
1512,4530,5
1513,4083,5
1514,5184,8
1515,6062,5
1516,3894,5
1517,3336,3
1518,4812,6
1519,4440,5
1520,3429,4
1521,3618,4
1522,4404,5
1523,3506,4
1524,2992,3
1525,2916,4
1526,2964,3
1527,2546,3
1528,3264,4
1529,3525,5
1530,4185,3
1531,4397,4
1532,2808,3
1533,4041,4
1534,3329,4
1535,4293,4
1536,3498,4
1537,2342,3
1538,4062,5
1539,4882,6
1540,5352,6
1541,3678,4
1542,4212,5
1543,5244,5
1544,2295,3
1545,2872,3
1546,2964,5
1547,3741,5
1548,3612,5
1549,2608,3
1550,4000,6
1551,3260,3
1552,4812,6
1553,3900,5
1554,3310,4
1555,4772,5
1556,3137,5
1557,3996,4
1558,2438,4
1559,4475,6
1560,4216,4
1561,5496,6
1562,2648,4
1563,2592,3
1564,4065,4
1565,3600,6
1566,4386,3
1567,2172,3
1568,5079,7
1569,4192,6
1570,2811,4
1571,3456,4
1572,3516,4
1573,4524,2
1574,3846,5
1575,4299,3
1576,4550,6
1577,3666,4
1578,3566,5
1579,2800,3
1580,4262,6
1581,3078,5
1582,2628,4
1583,5934,6
1584,5236,7
1585,2544,2
1586,1280,3
1587,2365,4
1588,3588,4
1589,2984,3
1590,3200,4
1591,2880,4
1592,3699,4
1593,2568,3
1594,5300,9
1595,4226,4
1596,5794,6
1597,5386,8
1598,3727,6
1599,3050,2
1600,3573,4
1601,1560,2
1602,2843,3
1603,2660,4
1604,4886,4
1605,4881,6
1606,3813,5
1607,6054,8
1608,4028,5
1609,3642,4
1610,3272,6
1611,3596,3
1612,4290,5
1613,4032,5
1614,2835,3
1615,2730,5
1616,2730,5
1617,2730,5
1618,2612,4
1619,2499,3
1620,6080,10
1621,3172,5
1622,3822,7
1623,5285,6
1624,4746,6
1625,2646,3
1626,4302,6
1627,4161,6
1628,5574,7
1629,3640,6
1630,7252,3
1631,4374,4
1632,5055,4
1633,3148,6
1634,4224,6
1635,3739,6
1636,3561,5
1637,4990,6
1638,4932,7
1639,4769,5
1640,6389,7
1641,4554,5
1642,4694,6
1643,4806,6
1644,4594,6
1645,4863,5
1646,3348,5
1647,3562,5
1648,3540,4
1649,3143,5
1650,2592,4
1651,2592,4
1652,2457,4
1653,2457,4
1654,3900,6
1655,3167,4
1656,3767,6
1657,3900,6
1658,3767,6
1659,2508,3
1660,3104,4
1661,7320,8
1662,6745,6
1663,6060,5
1664,7978,5
1665,5208,5
1666,5346,5
1667,6548,8
1668,5225,5
1669,4566,4
1670,5390,5
1671,5280,5
1672,7356,5
1673,5882,8
1674,4810,5
1675,4074,4
1676,3918,3
1677,4066,4
1678,7476,5
1679,6600,6
1680,5652,4
1681,4363,4
1682,5136,5
1683,4215,4
1684,3640,6
1685,3725,6
1686,3660,4
1687,3132,6
1688,4128,6
1689,4034,6
1690,3760,6
1691,3382,6
1692,4878,7
1693,3132,6
1694,3822,6
1695,3244,6
1696,5801,7
1697,3244,6
1698,6829,7
1699,6150,5
1700,5192,6
1701,5637,6
1702,5088,5
1703,4930,6
1704,5106,5
1705,4286,5
1706,7438,4
1707,4308,5
1708,4206,5
1709,4590,5
1710,4268,4
1711,4490,6
1712,5508,5
1713,4976,5
1714,4659,5
1715,4118,6
1716,3654,5
1717,3423,5
1718,3474,5
1719,4459,6
